code,name_en,name_zh,name_zh_tw,category,type_raw,tier,durability,defense_min,defense_max,defense_avg,reqstr,qlvl,max_sockets,sockets3,speed,img
cap,Cap,便帽,便帽,头盔,helm,普通,12,3,5,4.0,0,1,2,2/2/2,0,assets/equipment/cap_hat.webp
skp,Skull Cap,颅帽,顱帽,头盔,helm,普通,18,8,11,9.5,15,5,2,2/2/2,0,assets/equipment/skull_cap.webp
hlm,Helm,头盔,頭盔,头盔,helm,普通,24,15,18,16.5,26,11,2,2/2/2,0,assets/equipment/helm.webp
fhl,Full Helm,全罩盔,全罩盔,头盔,helm,普通,30,23,26,24.5,41,15,2,2/2/2,0,assets/equipment/full_helm.webp
ghm,Great Helm,重盔,重盔,头盔,helm,普通,40,30,35,32.5,63,23,3,2/2/3,0,assets/equipment/great_helm.webp
crn,Crown,王冠,王冠,头盔,helm,普通,50,25,45,35.0,55,29,3,2/2/3,0,assets/equipment/crown.webp
msk,Mask,面具,面具,头盔,helm,普通,20,9,27,18.0,23,19,3,2/2/3,0,assets/equipment/mask.webp
qui,Quilted Armor,棉布甲,棉布甲,铠甲,tors,普通,20,8,11,9.5,12,1,2,2/2/2,0,assets/equipment/quilted_armor.webp
lea,Leather Armor,皮革甲,皮革甲,铠甲,tors,普通,24,14,17,15.5,15,3,2,2/2/2,0,assets/equipment/leather_armor.webp
hla,Hard Leather Armor,硬皮甲,硬皮甲,铠甲,tors,普通,28,21,24,22.5,20,5,2,2/2/2,0,assets/equipment/hard_leather_armor.webp
stu,Studded Leather,镶钉皮甲,鑲釘皮甲,铠甲,tors,普通,32,32,35,33.5,27,8,2,2/2/2,0,assets/equipment/studded_leather.webp
rng,Ring Mail,环甲,環甲,铠甲,tors,普通,26,45,48,46.5,36,11,3,3/3/3,5,assets/equipment/ring_mail.webp
scl,Scale Mail,鳞甲,鱗甲,铠甲,tors,普通,36,57,60,58.5,44,13,2,2/2/2,10,assets/equipment/scale_mail.webp
chn,Chain Mail,锁链甲,鎖鍊甲,铠甲,tors,普通,45,72,75,73.5,48,15,2,2/2/2,5,assets/equipment/chain_mail.webp
brs,Breast Plate,胸铠,胸鎧,铠甲,tors,普通,50,65,68,66.5,30,18,3,3/3/3,0,assets/equipment/breast_plate.webp
spl,Splint Mail,板甲,板甲,铠甲,tors,普通,30,90,95,92.5,51,20,2,2/2/2,5,assets/equipment/splint_mail.webp
plt,Plate Mail,铠甲,鎧甲,铠甲,tors,普通,60,108,116,112.0,65,24,2,2/2/2,10,assets/equipment/plate_mail.webp
fld,Field Plate,野战铠甲,野戰鎧甲,铠甲,tors,普通,48,101,105,103.0,55,28,2,2/2/2,5,assets/equipment/field_plate.webp
gth,Gothic Plate,哥德铠甲,哥德鎧甲,铠甲,tors,普通,55,128,135,131.5,70,32,4,3/4/4,5,assets/equipment/gothic_plate.webp
ful,Full Plate Mail,全身铠甲,全身鎧甲,铠甲,tors,普通,70,150,161,155.5,80,37,4,3/4/4,10,assets/equipment/full_plate_mail.webp
aar,Ancient Armor,上古铠甲,上古鎧甲,铠甲,tors,普通,60,218,233,225.5,100,40,4,3/4/4,5,assets/equipment/ancient_armor.webp
ltp,Light Plate,轻型铠甲,輕型鎧甲,铠甲,tors,普通,60,90,107,98.5,41,35,3,3/3/3,0,assets/equipment/light_plate.webp
buc,Buckler,小圆盾,小圓盾,盾牌,shie,普通,12,4,6,5.0,12,1,1,1/1/1,0,assets/equipment/buckler.webp
sml,Small Shield,小型盾,小型盾,盾牌,shie,普通,16,8,10,9.0,22,5,2,2/2/2,0,assets/equipment/small_shield.webp
lrg,Large Shield,大型盾,大型盾,盾牌,shie,普通,24,12,14,13.0,34,11,3,3/3/3,5,assets/equipment/large_shield.webp
kit,Kite Shield,鸢盾,鳶盾,盾牌,shie,普通,30,16,18,17.0,47,15,3,3/3/3,0,assets/equipment/kite_shield.webp
tow,Tower Shield,塔盾,塔盾,盾牌,shie,普通,60,22,25,23.5,75,22,3,3/3/3,10,assets/equipment/tower_shield.webp
gts,Gothic Shield,哥德盾,哥德盾,盾牌,shie,普通,40,30,35,32.5,60,30,3,3/3/3,5,assets/equipment/gothic_shield.webp
