code,name_en,name_zh,name_zh_tw,category,type_raw,tier,durability,damage_min,damage_max,damage_avg,reqstr,reqdex,qlvl,max_sockets,sockets3,speed,rangeadder,img
hax,Hand Axe,手斧,手斧,斧,axe,普通,28,3,6,4.5,0,0,3,2,2/2/2,0,0,assets/equipment/hand_axe.webp
axe,Axe,斧,斧,斧,axe,普通,24,4,11,7.5,32,0,7,4,4/4/4,10,1,assets/equipment/axe.webp
2ax,Double Axe,双刃斧,雙刃斧,斧,axe,普通,24,5,13,9.0,43,0,13,5,4/5/5,10,1,assets/equipment/double_axe.webp
mpi,Military Pick,军用镐,軍用鎬,斧,axe,普通,26,7,11,9.0,49,33,19,6,4/5/6,-10,1,assets/equipment/military_pick.webp
wax,War Axe,征战斧,征戰斧,斧,axe,普通,26,10,18,14.0,67,0,25,6,4/5/6,0,2,assets/equipment/war_axe.webp
lax,Large Axe,重斧,重斧,斧,axe,普通,30,6,13,9.5,35,0,6,4,4/4/4,-10,1,assets/equipment/large_axe.webp
bax,Broad Axe,阔斧,闊斧,斧,axe,普通,35,10,18,14.0,48,0,12,5,4/5/5,0,1,assets/equipment/broad_axe.webp
btx,Battle Axe,战斧,戰斧,斧,axe,普通,40,12,32,22.0,54,0,17,5,4/5/5,10,1,assets/equipment/battle_axe.webp
gax,Great Axe,巨斧,巨斧,斧,axe,普通,50,9,30,19.5,63,39,23,6,4/5/6,-10,2,assets/equipment/great_axe.webp
gix,Giant Axe,巨人斧,巨人斧,斧,axe,普通,50,22,45,33.5,70,0,27,6,4/5/6,10,3,assets/equipment/giant_axe.webp
wnd,Wand,魔杖,魔杖,魔杖,wand,普通,15,2,4,3.0,0,0,2,1,1/1/1,0,0,assets/equipment/wand.webp
ywn,Yew Wand,紫杉魔杖,紫杉魔杖,魔杖,wand,普通,15,2,8,5.0,0,0,12,1,1/1/1,10,0,assets/equipment/yew_wand.webp
bwn,Bone Wand,骸骨魔杖,骸骨魔杖,魔杖,wand,普通,15,3,7,5.0,0,0,18,2,2/2/2,-20,0,assets/equipment/bone_wand.webp
gwn,Grim Wand,阴森魔杖,陰森魔杖,魔杖,wand,普通,15,5,11,8.0,0,0,26,2,2/2/2,0,0,assets/equipment/grim_wand.webp
clb,Club,短棒,短棒,棍棒,club,普通,24,1,6,3.5,0,0,1,2,2/2/2,-10,0,assets/equipment/club.webp
scp,Scepter,权杖,權杖,权杖,scep,普通,50,6,11,8.5,25,0,3,2,2/2/2,0,0,assets/equipment/scepter.webp
gsc,Grand Scepter,庄严权杖,莊嚴權杖,权杖,scep,普通,60,8,18,13.0,37,0,15,3,3/3/3,10,1,assets/equipment/grand_scepter.webp
wsp,War Scepter,征战权杖,征戰權杖,权杖,scep,普通,70,10,17,13.5,55,0,21,5,3/5/5,-10,1,assets/equipment/war_scepter.webp
spc,Spiked Club,狼牙棒,狼牙棒,棍棒,club,普通,36,5,8,6.5,0,0,4,2,2/2/2,0,1,assets/equipment/spiked_club.webp
mac,Mace,钉锤,釘鎚,钉头锤,mace,普通,60,3,10,6.5,27,0,8,2,2/2/2,0,0,assets/equipment/mace.webp
mst,Morning Star,钉头锤,釘頭鎚,钉头锤,mace,普通,72,7,16,11.5,36,0,13,3,3/3/3,10,1,assets/equipment/morning_star.webp
fla,Flail,连枷,連枷,钉头锤,mace,普通,30,1,24,12.5,41,35,19,5,3/4/5,-10,2,assets/equipment/flail.webp
whm,War Hammer,战锤,戰鎚,锤,hamm,普通,55,19,29,24.0,53,0,25,4,3/4/4,20,0,assets/equipment/war_hammer.webp
mau,Maul,重锤,重鎚,锤,hamm,普通,60,30,43,36.5,69,0,21,6,3/4/6,10,1,assets/equipment/maul.webp
gma,Great Maul,巨型重锤,巨型重鎚,锤,hamm,普通,60,38,58,48.0,99,0,32,6,3/4/6,20,2,assets/equipment/great_maul.webp
ssd,Short Sword,短剑,短劍,剑,swor,普通,24,2,7,4.5,0,0,1,2,2/2/2,0,0,assets/equipment/short_sword.webp
scm,Scimitar,弯刀,彎刀,剑,swor,普通,22,2,6,4.0,0,21,5,2,2/2/2,-20,0,assets/equipment/scimitar.webp
sbr,Saber,军刀,軍刀,剑,swor,普通,32,3,8,5.5,25,25,8,2,2/2/2,-10,0,assets/equipment/saber.webp
flc,Falchion,弯刃大刀,彎刃大刀,剑,swor,普通,32,9,17,13.0,33,0,11,2,2/2/2,20,0,assets/equipment/falchion.webp
crs,Crystal Sword,水晶剑,水晶劍,剑,swor,普通,20,5,15,10.0,43,0,11,6,3/4/6,0,1,assets/equipment/crystal_sword.webp
bsd,Broad Sword,阔剑,闊劍,剑,swor,普通,32,7,14,10.5,48,0,15,4,3/4/4,0,0,assets/equipment/broad_sword.webp
lsd,Long Sword,长剑,長劍,剑,swor,普通,44,3,19,11.0,55,39,20,4,3/4/4,-10,1,assets/equipment/long_sword.webp
wsd,War Sword,征战剑,征戰劍,剑,swor,普通,44,8,20,14.0,71,45,27,3,3/3/3,0,1,assets/equipment/war_sword.webp
2hs,Two-Handed Sword,双手剑,雙手劍,剑,swor,普通,44,2,9,5.5,35,27,10,3,3/3/3,0,2,assets/equipment/two_handed_sword.webp
clm,Claymore,阔刃大剑,闊刃大劍,剑,swor,普通,50,5,12,8.5,47,0,17,4,3/4/4,10,2,assets/equipment/claymore.webp
gis,Giant Sword,大剑,大劍,剑,swor,普通,50,3,16,9.5,56,34,21,4,3/4/4,0,2,assets/equipment/giant_sword.webp
bsw,Bastard Sword,重剑,重劍,剑,swor,普通,40,7,19,13.0,62,0,24,4,3/4/4,10,1,assets/equipment/bastard_sword.webp
flb,Flamberge,焰形剑,焰形劍,剑,swor,普通,50,9,15,12.0,70,49,27,5,3/4/5,-10,2,assets/equipment/flamberge.webp
gsd,Great Sword,巨剑,巨劍,剑,swor,普通,50,12,20,16.0,100,60,33,6,3/4/6,10,2,assets/equipment/great_sword.webp
dgr,Dagger,匕首,匕首,匕首,knif,普通,16,1,4,2.5,0,0,3,1,1/1/1,-20,0,assets/equipment/dagger.webp
dir,Dirk,长匕首,長匕首,匕首,knif,普通,20,3,9,6.0,0,25,9,1,1/1/1,0,0,assets/equipment/dirk.webp
kri,Kriss,波刃匕首,波刃匕首,匕首,knif,普通,24,2,11,6.5,0,45,17,3,2/3/3,-20,0,assets/equipment/kriss.webp
bld,Blade,利刃匕首,利刃匕首,匕首,knif,普通,24,4,15,9.5,35,51,23,3,2/3/3,-10,0,assets/equipment/blade.webp
tkf,Throwing Knife,飞刀,飛刀,飞刀,tkni,普通,4,2,3,2.5,0,21,2,2,1/2/2,0,0,assets/equipment/throwing_knife.webp
tax,Throwing Axe,飞斧,飛斧,投掷斧,taxe,普通,6,4,7,5.5,0,40,7,2,1/2/2,10,0,assets/equipment/throwing_axe.webp
bkf,Balanced Knife,平衡飞刀,平衡飛刀,飞刀,tkni,普通,8,1,8,4.5,0,51,13,2,1/2/2,-20,0,assets/equipment/balanced_knife.webp
bal,Balanced Axe,平衡飞斧,平衡飛斧,投掷斧,taxe,普通,10,5,10,7.5,0,57,16,6,2/4/6,-10,0,assets/equipment/balanced_axe.webp
jav,Javelin,标枪,標槍,标枪,jave,普通,2,1,5,3.0,0,0,1,3,1/2/3,-10,2,assets/equipment/javelin.webp
pil,Pilum,长标枪,長標槍,标枪,jave,普通,3,4,9,6.5,0,45,10,3,1/2/3,0,2,assets/equipment/pilum.webp
ssp,Short Spear,短矛,短矛,标枪,jave,普通,4,2,13,7.5,40,40,15,3,1/2/3,10,2,assets/equipment/short_spear.webp
glv,Glaive,长刃枪,長刃槍,标枪,jave,普通,5,5,17,11.0,52,35,23,4,1/2/3,20,2,assets/equipment/glaive.webp
